name,position,minutes_played,passes_completed,passes_total,shots,xg,ball_recoveries,pressures,dribbles_won,passes_completed_p90,passes_total_p90,shots_p90,xg_p90,ball_recoveries_p90,pressures_p90,dribbles_won_p90
Ander Capa Rodríguez,Right Back,3915,1274.0,2014.0,19.0,0.9650336793000001,233.0,580.0,39.0,29.29,46.3,0.44,0.02,5.36,13.33,0.9
Ander Gayoso Reina,Left Back,91,4.0,6.0,0.0,0.0,1.0,0.0,0.0,3.96,5.93,0.0,0.0,0.99,0.0,0.0
Ander Guevara Lajo,Right Defensive Midfield,330,191.0,224.0,0.0,0.0,22.0,102.0,3.0,52.09,61.09,0.0,0.0,6.0,27.82,0.82
Ander Herrera Agüera,Center Attacking Midfield,758,313.0,404.0,7.0,0.382845667,50.0,260.0,13.0,37.16,47.97,0.83,0.05,5.94,30.87,1.54
Ander Iturraspe Derteano,Right Defensive Midfield,2324,705.0,887.0,9.0,0.465826972,94.0,359.0,6.0,27.3,34.35,0.35,0.02,3.64,13.9,0.23
Ander Murillo García,Right Wing Back,134,25.0,37.0,1.0,0.007774844,5.0,42.0,0.0,16.79,24.85,0.67,0.01,3.36,28.21,0.0
Anderson Conceição Benedito,Left Center Back,90,9.0,12.0,0.0,0.0,1.0,5.0,0.0,9.0,12.0,0.0,0.0,1.0,5.0,0.0
Anderson Luis de Carvalho,Left Midfield,293,58.0,85.0,3.0,0.0774384177,21.0,56.0,3.0,17.82,26.11,0.92,0.02,6.45,17.2,0.92
Anderson Luís de Souza,Left Center Midfield,4685,2975.0,3773.0,96.0,5.5599030811,336.0,925.0,123.0,57.15,72.48,1.84,0.11,6.45,17.77,2.36
Anderson Silva de França,Left Center Forward,93,3.0,4.0,0.0,0.0,0.0,3.0,0.0,2.9,3.87,0.0,0.0,0.0,2.9,0.0
Andoni Gorosabel Espinosa,Right Back,246,90.0,113.0,0.0,0.0,11.0,33.0,3.0,32.93,41.34,0.0,0.0,4.02,12.07,1.1
Andoni Iraola Sagarna,Right Back,1088,353.0,485.0,2.0,0.84536095,53.0,149.0,9.0,29.2,40.12,0.17,0.07,4.38,12.33,0.74
Andreas Hoelgebaum Pereira,Left Wing,244,27.0,37.0,1.0,0.044538345,7.0,34.0,3.0,9.96,13.65,0.37,0.02,2.58,12.54,1.11
Andreas Ivanschitz,Left Midfield,262,22.0,39.0,3.0,0.18759125100000001,9.0,19.0,1.0,7.56,13.4,1.03,0.06,3.09,6.53,0.34
Andreu Fontàs Prat,Left Center Back,1474,840.0,942.0,2.0,0.31877683,55.0,165.0,4.0,51.29,57.52,0.12,0.02,3.36,10.07,0.24
Andreu Guerao Mayoral,Left Defensive Midfield,90,34.0,41.0,1.0,0.02654376,6.0,23.0,0.0,34.0,41.0,1.0,0.03,6.0,23.0,0.0
Andrija Delibašić,Center Forward,159,35.0,40.0,3.0,0.38118909,5.0,39.0,0.0,19.81,22.64,1.7,0.22,2.83,22.08,0.0
André Filipe Tavares Gomes,Left Center Midfield,6197,2185.0,2586.0,65.0,4.7215136274,284.0,1189.0,118.0,31.73,37.56,0.94,0.07,4.12,17.27,1.71
André de Castro Pereira,Center Attacking Midfield,186,31.0,46.0,0.0,0.0,7.0,60.0,1.0,15.0,22.26,0.0,0.0,3.39,29.03,0.48
André-Frank Zambo Anguissa,Right Center Midfield,180,89.0,97.0,0.0,0.0,14.0,52.0,4.0,44.5,48.5,0.0,0.0,7.0,26.0,2.0
Andrés Eduardo Fernández Moreno,Goalkeeper,4011,743.0,1349.0,0.0,0.0,244.0,11.0,1.0,16.67,30.27,0.0,0.0,5.47,0.25,0.02
Andrés Iniesta Luján,Left Center Midfield,28255,17526.0,19871.0,358.0,28.0618643604,1465.0,3584.0,828.0,55.83,63.29,1.14,0.09,4.67,11.42,2.64
Andrés José Fleurquin Rubio,Left Defensive Midfield,92,23.0,40.0,0.0,0.0,15.0,20.0,0.0,22.5,39.13,0.0,0.0,14.67,19.57,0.0
Andrés José Túñez Arceo,Left Center Back,90,27.0,33.0,0.0,0.0,2.0,8.0,1.0,27.0,33.0,0.0,0.0,2.0,8.0,1.0
Andrés Lamas Bervejillo,Left Center Back,92,22.0,27.0,1.0,0.18149585,0.0,5.0,0.0,21.52,26.41,0.98,0.18,0.0,4.89,0.0
Andrés Nicolás D''Alessandro,Left Wing,159,69.0,91.0,6.0,0.296436048,12.0,20.0,6.0,39.06,51.51,3.4,0.17,6.79,11.32,3.4
Andrés Palop Cervera,Goalkeeper,913,231.0,375.0,0.0,0.0,70.0,3.0,0.0,22.77,36.97,0.0,0.0,6.9,0.3,0.0
Andrés Pascual Santoja,Right Wing,92,5.0,6.0,0.0,0.0,3.0,6.0,1.0,4.89,5.87,0.0,0.0,2.93,5.87,0.98
Andrés Tomás Prieto Albert,Goalkeeper,91,11.0,22.0,0.0,0.0,2.0,0.0,0.0,10.88,21.76,0.0,0.0,1.98,0.0,0.0
Angelos Basinas,Left Center Midfield,184,80.0,92.0,1.0,0.027970491,8.0,57.0,1.0,39.13,45.0,0.49,0.01,3.91,27.88,0.49
Anssumane Fati,Left Wing,2199,550.0,656.0,41.0,4.743199816,50.0,291.0,35.0,22.51,26.85,1.68,0.19,2.05,11.91,1.43
Ante Budimir,Left Center Forward,332,49.0,66.0,7.0,1.158518508,5.0,70.0,1.0,13.28,17.89,1.9,0.31,1.36,18.98,0.27
Anthony Rubén Lozano Colón,Center Forward,277,23.0,32.0,3.0,0.300447682,6.0,23.0,0.0,7.47,10.4,0.97,0.1,1.95,7.47,0.0
Antoine Griezmann,Left Center Forward,9693,3289.0,4046.0,230.0,37.5951416723,382.0,1772.0,92.0,30.54,37.57,2.14,0.35,3.55,16.45,0.85
Antolín Alcáraz Viveros,Right Center Back,549,188.0,262.0,2.0,0.37142179,17.0,56.0,2.0,30.82,42.95,0.33,0.06,2.79,9.18,0.33
Antoni Lluis Adrover Colom,Left Wing,144,8.0,13.0,0.0,0.0,5.0,7.0,0.0,5.0,8.12,0.0,0.0,3.12,4.38,0.0
Antonio Adán Garrido,Goalkeeper,3692,589.0,1309.0,0.0,0.0,188.0,6.0,1.0,14.36,31.91,0.0,0.0,4.58,0.15,0.02
Antonio Amaya Carazo,Right Center Back,1828,477.0,629.0,3.0,0.20450205999999999,41.0,166.0,6.0,23.48,30.97,0.15,0.01,2.02,8.17,0.3
